Year,G,Date,Day,School,,Opponent,Conf,Result,Pts,Opp,Diff,W,L,T,Streak,Notes
1931,11,10/29/27,Sat,North Carolina,@,North Carolina State,Southern,L,6,19,-13,6,3,2,L 1,
1930,10,10/30/26,Sat,North Carolina,,North Carolina State,Southern,W,12,0,12,6,2,2,W 5,
1929,9,10/15/25,Thu,North Carolina,@,North Carolina State,Southern,W,17,0,17,5,2,2,W 4,
1928,8,10/16/24,Thu,North Carolina,@,North Carolina State,Southern,W,10,0,10,4,2,2,W 3,
1927,7,10/18/23,Thu,North Carolina,@,North Carolina State,Southern,W,14,0,14,3,2,2,W 2,
1926,6,10/19/22,Thu,North Carolina,@,North Carolina State,Southern,W,14,9,5,2,2,2,W 1,
1925,5,10/20/21,Thu,North Carolina,@,North Carolina State,Southern,L,0,7,-7,1,2,2,L 2,
1924,4,10/21/20,Thu,North Carolina,@,North Carolina State,Ind,L,3,13,-10,1,1,2,L 1,
1923,3,10/23/19,Thu,North Carolina,@,North Carolina State,Ind,W,13,12,1,1,0,2,W 1,
1922,2,11/16/04,Wed,North Carolina,,North Carolina State,Ind,T,6,6,0,0,0,2,T 2,
1921,1,11/8/02,Sat,North Carolina,@,North Carolina State,Ind,T,0,0,0,0,0,1,T 1,
