Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
1,Texas,Big 12,FBS,1449.5,7,73,13,63,1,100,0,0,0,0,1,100,2,90,1,100,9,64,2,90,2,90,0,0,0,0,0,0,770,493,186.5
10,Oklahoma,Big 12,FBS,968.5,2,90,49,22.5,5,72.75,0,0,0,0,0,0,1,100,2,90,17,50,41,31.5,16,57.75,0,0,0,0,0,0,514.5,386.5,67.5
23,Oklahoma State,Big 12,FBS,802.75,17,50,19,55,5,72.75,0,0,0,0,0,0,3,83,9,64,0,0,15,59.25,18,54,0,0,0,0,0,0,438,144.75,220
38,Texas Tech,Big 12,FBS,627,17,50,37,33.5,5,72.75,0,0,0,0,0,0,0,0,17,50,33,25,7,72,9,68.25,0,0,0,0,0,0,371.5,185.5,70
40,TCU,Big 12,FBS,564.5,17,50,21,53,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,16,57.75,0,0,0,0,7,60,293.75,206.75,64
42,Iowa State,Big 12,FBS,540.5,0,0,49,22.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,62,8.5,50,22.5,0,0,0,0,0,0,78.5,253,209
47,Baylor,Big 12,FBS,522,0,0,18,56,0,0,0,0,0,0,0,0,0,0,17,50,5,73,37,35.5,18,54,0,0,0,0,0,0,268.5,116,137.5
61,Kansas,Big 12,FBS,384.5,0,0,0,0,17,57,0,0,0,0,0,0,0,0,33,25,0,0,30,41.5,64,8.5,0,0,0,0,0,0,132,188.5,64
62,West Virginia,Big 12,FBS,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35.5,0,0,0,0,0,0,0,0,35.5,163.5,176
79,Kansas State,Big 12,FBS,253.5,0,0,0,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,63.5,120,70
54,Villanova,Big East,FCS,470.5,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,19,54.5,54,18,0,0,0,0,0,0,97.5,177,196
85,UConn,Big East,FBS,231,9,64,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,115,27
70,Georgetown,Big East,FCS,329,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,62,8.5,46,26.5,0,0,0,0,0,0,88,0,241
81,Providence,Big East,DI,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,0,0,0,0,0,15,64,166
86,Creighton,Big East,DI,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100
100,St. John's,Big East,DI,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,114
145,Butler,Big East,FCS,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
210,Xavier,Big East,DI,66.5,0,0,55,16.5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,25
224,Seton Hall,Big East,DI,53.5,0,0,0,0,43,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,25,0
229,Marquette,Big East,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
258,DePaul,Big East,DI,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,25,5,0
71,Northern Arizona,Big Sky,FCS,311.5,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,23,50.5,0,0,0,0,0,0,80.5,80,151
77,Montana State,Big Sky,FCS,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,0,0,0,0,0,0,47,129,90
159,Southern Utah,Big Sky,FCS,103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,50
172,Montana,Big Sky,FCS,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
223,Northern Colorado,Big Sky,FCS,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,25
225,Eastern Washington,Big Sky,FCS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
